Exp	a_t	lp	e_b	e_n	dsbeta	e_ds	mwd	aw	Yu2007-Exp1-2x2-single	Yu2007-Exp1-3x3-single	Yu2007-Exp1-4x4-single	Yurokovisky2013-Exp1-single	Yurokovisky2013-Exp1-either	Yurokovisky2013-Exp1-both	Yurokovisky2013-Exp2-single	Yurokovisky2013-Exp2-either	Yurokovisky2013-Exp2-both	Yurokovisky2013-Exp3-single	Yurokovisky2013-Exp3-either	Yurokovisky2013-Exp3-both	Yurokovisky2013-Exp3-early	Yurokovisky2013-Exp3-late
All	0.994527	0.0667362	0.25219	0.0478695	0.309849	3.78805	0.671679	169.092	0.851852	0.522222	0.605556	0.405556	0.433333	0.455556	0.277778	0.727778	0.227778	0.505556	0.727778	0.144444	0.0888889	0.0555556
All	0.990613	0.0653292	0.167424	0.570763	0.479143	3.6432	0.781013	147.876	0.537037	0.374074	0.37963	0.361111	0.6	0.305556	0.261111	0.655556	0.266667	0.288889	0.783333	0.15	0.122222	0.0277778
All	0.997051	0.0371463	0.33776	0.105466	0.306837	1.15393	0.474319	206.105	0.948148	0.688889	0.62963	0.688889	0.3	0.638889	0.638889	0.672222	0.327778	0.366667	0.794444	0.138889	0.116667	0.0222222
All	0.996496	0.0367856	0.0527022	0.0682428	0.645113	1.03679	0.703373	154.489	0.798148	0.590741	0.542593	0.527778	0.583333	0.361111	0.355556	0.8	0.172222	0.438889	0.733333	0.0777778	0.0555556	0.0222222
All	0.994866	0.0536208	0.450135	0.496654	0.154279	3.76443	0.494254	45.2334	0.4	0.224074	0.32963	0.177778	0.277778	0.416667	0.15	0.7	0.266667	0.216667	0.733333	0.205556	0.0555556	0.15
All	0.992638	0.0150246	0.22122	0.229333	0.705786	4.04132	0.453133	48.4018	0.351852	0.183333	0.292593	0.188889	0.533333	0.172222	0.1	0.811111	0.161111	0.0555556	0.7	0.166667	0.0222222	0.144444
All	0.996051	0.0178709	0.346546	0.641771	0.657924	3.93139	0.418345	85.8264	0.375926	0.322222	0.385185	0.288889	0.455556	0.338889	0.255556	0.688889	0.255556	0.183333	0.794444	0.161111	0	0.161111
All	0.998157	0.0397645	0.597816	0.552136	0.272799	3.82124	0.697263	144.821	0.45	0.559259	0.635185	0.5	0.427778	0.538889	0.438889	0.844444	0.0722222	0.527778	0.733333	0.238889	0.172222	0.0666667
All	0.995976	0.0494708	0.451093	0.117256	0.244721	2.98344	0.230859	65.3923	0.883333	0.624074	0.594444	0.444444	0.2	0.622222	0.488889	0.561111	0.377778	0.383333	0.905556	0.0555556	0.0166667	0.0388889
All	0.99521	0.0294286	0.487523	0.725367	0.516673	0.989505	0.871367	118.322	0.655556	0.616667	0.62963	0.355556	0.355556	0.516667	0.605556	0.572222	0.294444	0.333333	0.444444	0.455556	0.427778	0.0277778
All	0.9924	0.0234746	0.643735	0.687369	0.712021	3.84419	0.543302	213.844	0.603704	0.474074	0.553704	0.4	0.422222	0.355556	0.344444	0.516667	0.355556	0.338889	0.65	0.294444	0.272222	0.0222222
All	0.997643	0.0599786	0.091942	0.732578	0.547293	2.60472	0.222419	159.628	0.555556	0.564815	0.627778	0.411111	0.344444	0.494444	0.577778	0.722222	0.183333	0.466667	0.605556	0.361111	0.322222	0.0388889
