Exp	a_t	lp	e_b	e_n	dsbeta	e_ds	mwd	aw	Yu2007-Exp1-2x2-single	Yu2007-Exp1-3x3-single	Yu2007-Exp1-4x4-single	Yurokovisky2013-Exp1-single	Yurokovisky2013-Exp1-either	Yurokovisky2013-Exp1-both	Yurokovisky2013-Exp2-single	Yurokovisky2013-Exp2-either	Yurokovisky2013-Exp2-both	Yurokovisky2013-Exp3-single	Yurokovisky2013-Exp3-either	Yurokovisky2013-Exp3-both	Yurokovisky2013-Exp3-early	Yurokovisky2013-Exp3-late
All	0.99905	0.544851	0.00534323	0.00198125	0.715647	0.0246911	0.330255	250	0.17963	0.261111	0.237037	0.444444	0.566667	0.25	0.461111	0.672222	0.244444	0.333333	0.572222	0.294444	0.166667	0.127778
All	0.999172	0.383519	0.0805969	0.034882	0.640325	0.0876615	0.835541	250	0.333333	0.4	0.387037	0.333333	0.472222	0.288889	0.338889	0.566667	0.333333	0.344444	0.544444	0.361111	0.211111	0.15
All	0.999188	0.179895	0.0300731	0.010113	0.19052	0.0888899	0.295522	250	0.253704	0.359259	0.368519	0.333333	0.466667	0.305556	0.305556	0.538889	0.333333	0.322222	0.644444	0.255556	0.155556	0.1
All	0.999744	0.364417	0.0581683	0.00800646	0.848887	0.022027	0.644076	250	0.268519	0.361111	0.281481	0.233333	0.577778	0.272222	0.322222	0.572222	0.355556	0.316667	0.711111	0.211111	0.111111	0.1
All	0.999916	0.626078	0.0786958	0.0197309	0.876422	0.0614956	0.864269	250	0.544444	0.509259	0.387037	0.161111	0.705556	0.2	0.533333	0.577778	0.316667	0.266667	0.738889	0.155556	0.127778	0.0277778
All	0.999716	0.506272	0.032987	0.00899916	0.545105	0.0689982	0.262321	250	0.307407	0.437037	0.312963	0.338889	0.555556	0.266667	0.344444	0.611111	0.361111	0.316667	0.661111	0.211111	0.161111	0.05
All	0.999937	0.104636	0.099614	0.0362722	0.583426	0.0391763	0.251302	250	0.731481	0.868519	0.398148	0.161111	0.711111	0.216667	0.666667	0.611111	0.322222	0.238889	0.616667	0.188889	0.188889	0
All	0.999765	0.335567	0.0613837	0.0221844	0.742712	0.0146658	0.530589	250	0.344444	0.316667	0.32037	0.333333	0.5	0.366667	0.344444	0.511111	0.366667	0.3	0.622222	0.288889	0.155556	0.133333
All	0.999445	0.485041	0.0540428	0.00497243	0.0833909	0.0964621	0.639621	250	0.337037	0.383333	0.361111	0.283333	0.555556	0.266667	0.322222	0.55	0.327778	0.361111	0.572222	0.311111	0.188889	0.122222
All	0.99903	0.33369	0.00731768	0.00208416	0.812251	0.0726528	0.162604	250	0.161111	0.242593	0.255556	0.45	0.622222	0.205556	0.477778	0.611111	0.305556	0.377778	0.538889	0.294444	0.161111	0.133333
