Exp	a_t	lp	e_b	e_n	dsbeta	e_ds	mwd	aw	Yu2007-Exp1-2x2-single	Yu2007-Exp1-3x3-single	Yu2007-Exp1-4x4-single	Yurokovisky2013-Exp1-single	Yurokovisky2013-Exp1-either	Yurokovisky2013-Exp1-both	Yurokovisky2013-Exp2-single	Yurokovisky2013-Exp2-either	Yurokovisky2013-Exp2-both	Yurokovisky2013-Exp3-single	Yurokovisky2013-Exp3-either	Yurokovisky2013-Exp3-both	Yurokovisky2013-Exp3-early	Yurokovisky2013-Exp3-late
All	0.999875	0.174596	0.357099	0.0983635	0.455413	3.92753	0.149989	205.878	0.857407	0.653704	0.585185	0.233333	0.544444	0.394444	0.305556	0.738889	0.238889	0.444444	0.655556	0.2	0.166667	0.0333333
All	0.999823	0.146026	0.363891	0.340212	0.171744	3.05844	0.35539	208.225	0.635185	0.492593	0.346296	0.25	0.527778	0.283333	0.188889	0.816667	0.133333	0.3	0.833333	0.0611111	0.0611111	0
All	0.999964	0.0131828	0.634678	0.492033	0.155301	4.89059	0.872198	205.199	0.57037	0.564815	0.518519	0.472222	0.305556	0.677778	0.6	0.677778	0.3	0.422222	0.844444	0.144444	0.105556	0.0388889
All	0.999923	0.0124876	0.530952	0.500079	0.947282	3.42723	0.573153	206.049	0.690741	0.540741	0.57963	0.216667	0.583333	0.372222	0.527778	0.705556	0.172222	0.433333	0.55	0.394444	0.311111	0.0833333
All	0.999867	0.0734841	0.495789	0.162162	0.401891	2.96243	0.0217322	203.537	0.853704	0.577778	0.490741	0.183333	0.588889	0.344444	0.255556	0.816667	0.177778	0.366667	0.738889	0.133333	0.127778	0.00555556
All	0.999916	0.135645	0.339153	0.333061	0.956944	0.0866629	0.010255	214.206	0.598148	0.390741	0.385185	0.227778	0.244444	0.627778	0.211111	0.594444	0.388889	0.333333	0.544444	0.455556	0.138889	0.316667
All	0.999881	0.16347	0.275286	0.183733	0.696642	0.786628	0.467283	209.048	0.838889	0.57963	0.444444	0.372222	0.516667	0.294444	0.233333	0.766667	0.194444	0.383333	0.705556	0.127778	0.127778	0
All	0.999817	0.147767	0.159665	0.154268	0.473461	0.571374	0.323317	203.243	0.392593	0.464815	0.344444	0.244444	0.533333	0.233333	0.177778	0.844444	0.0222222	0.377778	0.722222	0.0388889	0.00555556	0.0333333
All	0.99987	0.139226	0.550644	0.326696	0.970257	2.51099	0.813418	215.034	0.761111	0.601852	0.455556	0.222222	0.488889	0.361111	0.261111	0.683333	0.277778	0.355556	0.633333	0.227778	0.2	0.0277778
All	0.999925	0.0906101	0.079632	0.0773876	0.228701	2.89281	0.24852	201.767	0.874074	0.738889	0.625926	0.361111	0.233333	0.761111	0.65	0.844444	0.127778	0.538889	0.7	0.283333	0.272222	0.0111111
All	0.99992	0.0203185	0.578082	0.330007	0.871684	2.93681	0.437775	200.677	0.737037	0.548148	0.585185	0.205556	0.527778	0.444444	0.355556	0.772222	0.166667	0.433333	0.688889	0.277778	0.244444	0.0333333
All	0.999942	0.171119	0.210247	0.0564908	0.32652	1.87115	0.368303	210.485	0.85	0.809259	0.735185	0.744444	0.255556	0.744444	0.694444	0.766667	0.233333	0.777778	0.794444	0.205556	0.0777778	0.127778
All	0.999976	0.178621	0.72843	0.372378	0.396353	1.34927	0.931301	205.476	0.748148	0.746296	0.624074	0.633333	0.172222	0.827778	0.733333	0.544444	0.455556	0.444444	0.838889	0.161111	0.105556	0.0555556
All	0.999836	0.161878	0.325167	0.240374	0.538248	2.76118	0.614744	209.924	0.744444	0.533333	0.396296	0.205556	0.466667	0.355556	0.205556	0.766667	0.211111	0.327778	0.744444	0.116667	0.105556	0.0111111
All	0.999802	0.0595034	0.69902	0.484676	0.70118	2.87342	0.661093	214.915	0.6	0.461111	0.35	0.2	0.488889	0.294444	0.211111	0.75	0.161111	0.227778	0.733333	0.172222	0.133333	0.0388889
All	0.999965	0.104079	0.337822	0.185559	0.348362	3.76745	0.47212	211.58	0.888889	0.818519	0.766667	0.5	0.172222	0.816667	0.844444	0.65	0.35	0.644444	0.927778	0.0722222	0.0166667	0.0555556
All	0.999821	0.0341015	0.0846405	0.0781198	0.379717	3.17302	0.304573	209.756	0.574074	0.598148	0.453704	0.266667	0.616667	0.283333	0.244444	0.722222	0.138889	0.394444	0.894444	0.0611111	0.0611111	0
All	0.999906	0.146663	0.49168	0.485426	0.480393	2.60311	0.09179	207.556	0.651852	0.65	0.564815	0.311111	0.588889	0.316667	0.416667	0.727778	0.233333	0.477778	0.633333	0.322222	0.261111	0.0611111
All	0.999891	0.00454503	0.0382716	0.0138984	0.144364	4.11797	0.445716	203.114	0.837037	0.82037	0.601852	0.394444	0.394444	0.583333	0.638889	0.694444	0.222222	0.65	0.833333	0.144444	0.122222	0.0222222
All	0.9999	0.0987432	0.392677	0.265397	0.706675	4.8382	0.410336	204.919	0.764815	0.687037	0.611111	0.288889	0.588889	0.338889	0.288889	0.661111	0.305556	0.45	0.644444	0.333333	0.283333	0.05
All	0.999832	0.0367761	0.377438	0.255506	0.047644	4.3773	0.696352	208.039	0.714815	0.514815	0.387037	0.222222	0.472222	0.311111	0.194444	0.777778	0.177778	0.338889	0.75	0.105556	0.1	0.00555556
All	0.999956	0.115891	0.185888	0.0478856	0.138399	0.440992	0.536795	214.824	0.942593	0.907407	0.7	0.688889	0.25	0.75	0.588889	0.911111	0.0888889	0.622222	0.777778	0.144444	0.0944444	0.05
All	0.999852	0.0963338	0.707995	0.655063	0.332916	0.872291	0.0367937	208.742	0.668519	0.537037	0.422222	0.216667	0.444444	0.322222	0.272222	0.666667	0.211111	0.311111	0.627778	0.266667	0.211111	0.0555556
